Rating,Ulasan
5,Ukuran pas .. barang sesuai deskripsi dan sesuai dengan gambar. Nyaman ringan banget. Cocok untuk lari. Nyaman. Ngga panas juga walaupun pakai kaus kaki yg agak tebal. Th... 
5,Empuks n nyaman.. insyaallah repeat order lg..
5,"Ukuran pass, nyaman banget dipake jalan/olahraga bahkan buat lari juga enak banget
Sol nya ringan dan empuk ga bikin kaki sakit"
5,"jahitan rapi, ringan, tidak panas. modelnya bagus gak norak. seusai harapan. lain kali order lagi"
4,"Bagus, enteng, cuma ada beberapa noda di bagian tali, sama di bagian tulisan kanky runnya, ini harusnya ga Lolo qc ga si :("
5,look nya bagus banget rapi dan dipakai nyaman meski luarnya agak kaku tapi insole nya empuk dan fit ukurannya sesuai deskripsi
5,Beli upsize dari ukuran biasanya dan masih enak dipake dong. Enteng banget dibawa jalan jauh enak gak pegel. Mantap Kanky!🫶🏻
5,"ukuran pas sesuai deskripsi pengirimannya juga cepet banget, sepatunya bagus gak empuk empuk banget sih mungkin karena masih baru belum digunakan jadi masih keras, tapi n... "
5,"Biasa pake 38 yang 23.5cm tapi liat review hampir suruh upsize semua, akhirnya ikut upsize dan beneran ngepas."
5,"mantap, proses ceoat, seller ramah

produk diterima dengan baik dan setelah dicoba sebentar terasa ringan serta nyaman di kaki, hanya tinggal masalah seberapa awet saja s... "
5,"harga ok dapat lg promo
packing ok
pengiriman ok
insole empuk
semoga awet"
5,"ukurannya pas banget, keren, modelnya bagus premium, puaas banget, jahitannya rapi, lemnya juga, ringan banget. keren pokonya. ini pembelian yang kedua, puas banget."
5,"bagus banget sepatunya, size nya pas bangeettt ssmoga awett"
5,"Banyak ulasan bilang naik 1 size. Aku biasa pake 38 trus pesen 39, kayaknya masih longgar. Belum tau 38 ngepas atau gak sih. Akhirnya aku pake kaos tebal, masih agak long... "
5,"ringan, nyaman dipakai, ukuran pas. kalau mau lebih nyaman bisa beli insert insole pad tambahan."
5,"Pengemasan dan pengiriman cepat, produk aman dan pas. Nyaman dipakai juga buat lari, thank u."
5,"produk sangat berkualitas, ringan, empuk, size pas 
yg pastinya recomended seller.. jasa pengiriman saja yg agak  lama untuk ke kaltim"
5,"Ukuran sesuai deskripsi, bahan kuat dan pengiriman cepat setelah dipesan"
5,"Ukuran pas dan sesuai deskripsi.
Bahan, model dan kualitas bagus.
Terima kasih"
5,"Ukuran pas sesuai deskripsi, bahan bagus, sepatu original dan nyaman di gunakan, mantap👍👍👍"
5,"bagus untuk sepatu seharga ini, enteng, nyaman dipakai, kualitas bahan sebanding dengan harganya... value for money.."
5,"Ringan Poll, bahannya lembut ga bikin kaki sakit. LOVE IT🫰🏻"
5,"Ukuran 40 ternyata pas bgt di kaki, kirain bakal ada longgar dikit
overall, kualitas dn bahannya oke
semoga awet"
5,"Sepatunya realpict, kemasan baik, kualitas ok, bagus utk jalan kaki, nyaman dikaki, recommended, seller amanah"
5,"sepatunya ringan, cuman saya dapet yang kanan lebih besar dari yang kiri😭🥲"
5,"Sangat Rekomendet 
Saya sudah langganan beli Sepatu Kanky di Tokopedia sebanyak 7 kali
Barang Original dan Nyaman dipakai 
cocok banget dipake untuk Ngantor di hari Jum&#... "
5,10/10🥰🥰🥰
5,Ukurannya sesuai. Ringan dan nyaman banget dipakai jalan/jogging.
5,"Bentuk dan ukuran: Sesuai dan sangat baik
Daya tahan pakai: Sangat baik
Warna: Putih pink cantik"
5,nyaman. ringan. panjang kaki sekitar 24-24.5 cm pakai ukuran 39 longgar tp pas.
5,ukuran pas barang original dan kualitas tidak di ragukan terimakasih toko amanah
5,cakep banget sumpeh enteng nyaman dipake nyampenya gc parah next bakal order yang lain🤩
5,"sesuai deskripsi,  bagus,  ringan, hanya saja terlalu pas dikaki,  mungkin harus naik size yaaa....😊"
4,"bagus tapi mata kaki keluar, dan agk sakit bergeser dngan sepatu"
5,"bangga buatan lokal
asli no play play sepatu nya
empuk & enteng
dengan harga segitu worthed sih

apalagi respon admin sellernya cepet bener"
5,"BAGUS BANGET ⭐⭐⭐⭐⭐,tapi bersihinnya susah apalagi kalo ga langsung dicuci pas kena noda"
5,"BAGUS BANGET SEPATU NYA NYAMAN PAS DI PAKE, cuman wktu dateng kardus bagian bawah nya sobek sampe ke dalem' , tapi sepatu nya aman hehe"
5,Suka banget sama bahan dan modelnya. Ringan dan juga enak dipake! Thanks
5,"Produk nya bagus, nyaman bgt di kaki ku. Sempet takut ga muat tapi di coba pakai dan di bawa jalan, enak bgt ga sempit. Pengiriman cepet. Top deh🤙🏻✨"
5,"gak nyangka barang nya sebagus ini dengan harga yg terjangkau. bahan nya bagus,jahitan nya rapi,ukuran nya pass. puas bangettt."
5,"Sangat² tidak mengecewakan buat kali yang mau cari sepatu buat jogging, lari, jalan, olahraga ini cocok bnget.
Enteng bngetttttttt enak dipake berasa ngga pake sepatu, da... "
5,"Running oke, Daily oke 😍😍🫶🫶 Best pokoknyaa, mana ringan banget lagi kaya ngga pake sepatu, ngga bikin cape dan tentu nyaman seharian untuk dibawa aktifitas 😆😆"
5,"bahannya bagus banget, kualitas gak main2. highly recomend"
5,"sepatunya bagus gais, lokal pride, pengiriman juga ga lama, btw kyknya disesuaikan aja sm sepatu kalian biasanya, kaki ak 22.5 ambil 37 kekecilan karena kaki ak lebar ya... "
5,"cukup lumayan kalau dibandingkan harganya..
agak sedikit kebesaran tp ok lah.
semoga betul enak untuk dipake berdiri dan jalan lama."
5,"ALHAMDULILLAH SAMPAI SETELAH PENANTIAN,, T.T, BAGUS BANGEETTT LUVV SMOGA AWEET"
5,"Uk asli 39 dan pas di uk 40 sepatu ini dg kaos kaki, model bagus, bahan lumayan utk harga 200rb, sol so so lah empuknya. Next bakal dicoba buat zumba atau sekedar jalan2�... "
5,"Fast response, Good product, Harga terjangkau."
5,"makasih min udah denger suara hati customer, gampang return pokoknya bangga sepatu lokal🥰🫶🏻"
5,"Barang sudah sampai ditempat tujuan 
Barang sesuai ukuran kaki saya"
5,"Sepatunya bagus dan sesuai, ringan kualitas bagus. Sangat memuaskan"
5,"sepatunya bagus, panjang kakiku 22,5cm kebetulan size yg paling mendekati ukuran kakiku yg tersedia stoknya tinggal 37, pas dateng kirain kebesaran ternyata ngga kok dipa... "
5,"adminnya gerceppp tanya ukuran sama minta tolong segera di kemas langsung di kemass, biar hari selasa bisa sampee ternyata senin malah udah sampee terimakasi adminn, sepa... "
5,"ukurannya pas bgt ternyata pdhl kaki aku ukuran 39an, paket nya aman, nyaman karena empuk banget cuma terlalu pas, cocok buat skolah! worth it tapi kalo ukuran kaki nya 3... "
5,"Bentuk dan ukuran: pass
Warna: sesuai dgn yg difoto
nantii beli lagii"
4,warnanya bagus nyaman dipake semoga awet barangnya
5,"oke mantab, ukuran pas. bahan nyaman. keren."
5,MasyaAllah akhirnya.. alhamdulillah cantik semuanya bagus sihh di aku juga pas empuk juga pas dipake
5,"sangat bagus sekali, nyaman dipakai, warnanya cantik😍😍"
5,"Ringan bangett, ukuran sesuai. Sengaja beli yg lebih size nya soalnya biar longgar enak. Sesuai banget ukuranya.
Bagus sesuai lemnya kuat.
Semoga awettt, warna putihnya b... "
5,"Seller fast respon dan pengiriman cepat, sepatu bagus seperti harga jutaan, thanks.."
5,ukuran pas. harga sangat terjangkau dan berkualitas
5,"mantap, ukurannya pas. bahannya bagus."
5,bahannya bagus dan nyaman dipakai.... semoga awet
5,"ukuran pas model bagus nyaman, harga bersaing..terimakasih"
