Produk,Rating,Ulasan
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Gak nyangka senyaman ini sepatunya...
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,bagus sesuai
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Bagus banget
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,recomend bgt buat yg cari sepatu under 200an tpi kualitas bagusss bgt
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,"emang sekeren itu sih, dan nyaman buat running yg butuh bantalan kuat"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Ini kedua kali nya beli kanky , emangggg bagusss banget sih. Ringan juga kalo dipakettt"
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,Bagus bngt...warnanya soft...smg awet
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Sepatunyaa pas d kaki..bahannya enk lembut enk d bawa jogging..terima kasihh🙏
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"bagusss si looks nya, apalagi dgn harga 200an ini termasuk low budget bgdd"
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,Keren banget cuyyy😍😍🥰 enak dipakenya
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Ringan
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Kuriri jnt biadap masa salah krim nomor resi dan ganti alamat di paket saya.
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,mantap
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,Ok
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Baguss
